id,card_number,language,series_id,name,card_type,rarity,colors,cost,life,power,counter,attribute,traits,effect_text,trigger_text,source_info,block_icon,created_at,updated_at
2435,PRB02-008,en,51,Marco,CHARACTER,SR,青,4.0,,6000.0,,Special,Land of Wano/Former Whitebeard Pirates,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On K.O.] Draw 2 cards.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],3,2026-02-15 14:47:47.776028,2026-02-16 04:38:54.745185
2436,PRB02-009,en,51,Mr.3(Galdino),CHARACTER,R,青,2.0,,1000.0,1000.0,Special,Cross Guild/Former Baroque Works,This effect can be activated when this Character is rested by your opponent's effect. You may trash this Character and draw 2 cards.[Blocker],,-ONE PIECE CARD THE BEST vol.2- [PRB-02],3,2026-02-15 14:47:47.778316,2026-02-16 04:38:54.745186
2437,PRB02-010,en,51,Charlotte Pudding,CHARACTER,SR,紫,7.0,,5000.0,1000.0,Wisdom,Big Mom Pirates,"[On Play] DON!! −2: If your Leader has the {Big Mom Pirates} type and your opponent has 6 or more DON!! cards on their field, draw 2 cards. Then, play up to 1 {Big Mom Pirates} type Character card with 6000 to 8000 power from your hand.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],3,2026-02-15 14:47:47.780623,2026-02-16 04:38:54.745187
2438,PRB02-011,en,51,Donquixote Doflamingo,CHARACTER,R,紫,5.0,,6000.0,1000.0,Special,The Seven Warlords of the Sea/Donquixote Pirates,"[Blocker][On Play] If your Leader is multicolored, add up to 1 DON!! card from your DON!! deck and rest it.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],3,2026-02-15 14:47:47.782926,2026-02-16 04:38:54.745188
2439,PRB02-012,en,51,Nami,CHARACTER,R,紫,2.0,,2000.0,1000.0,Special,Straw Hat Crew,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 {Straw Hat Crew} type card other than [Nami] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",[Trigger] Play this card.,-ONE PIECE CARD THE BEST vol.2- [PRB-02],3,2026-02-15 14:47:47.785223,2026-02-16 04:38:54.745189
2440,PRB02-013,en,51,Gecko Moria,CHARACTER,R,黒,6.0,,7000.0,,Special,The Seven Warlords of the Sea/Thriller Bark Pirates,"[On Play] If your Leader has the {Thriller Bark Pirates} type, play up to 1 Character card with a cost of 4 or less from your trash rested. Then, give up to 1 rested DON!! card to your Leader or 1 of your Characters.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],3,2026-02-15 14:47:47.787559,2026-02-16 04:38:54.745190
2441,PRB02-014,en,51,Sabo,CHARACTER,SR,黒,6.0,,6000.0,2000.0,Special,Dressrosa/Revolutionary Army,"If you have 15 or more cards in your trash, give this card in your hand −3 cost.[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],3,2026-02-15 14:47:47.789881,2026-02-16 04:38:54.745191
2442,PRB02-015,en,51,Shiryu,CHARACTER,R,黒,4.0,,5000.0,1000.0,Slash,Blackbeard Pirates,"If your Leader has the {Blackbeard Pirates} type, this Character gains [Blocker] and +4 cost.[On K.O.] If your Leader has the {Blackbeard Pirates} type, K.O. up to 1 of your opponent's Characters with a base cost of 4 or less.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],3,2026-02-15 14:47:47.792234,2026-02-16 04:38:54.745191
2443,PRB02-016,en,51,Otama,CHARACTER,R,黄,2.0,,,2000.0,Special,Land of Wano,[Activate: Main] You may rest this Character and add 1 card from the top or bottom of your Life cards to your hand: Up to 1 of your Leader or Character cards gains +3000 power during this turn.,[Trigger] Rest up to 1 of your opponent's Characters with a cost of 4 or less.,-ONE PIECE CARD THE BEST vol.2- [PRB-02],3,2026-02-15 14:47:47.794559,2026-02-16 04:38:54.745192
2444,PRB02-017,en,51,Boa Hancock,CHARACTER,SR,黄,5.0,,7000.0,,Special,FILM/The Seven Warlords of the Sea/Kuja Pirates,[On Play] You may trash 1 card with a [Trigger] from your hand: Your opponent's rested Leader or up to 1 of your opponent's Characters other than [Monkey.D.Luffy] cannot attack until the end of your opponent's next End Phase.,[Trigger] K.O. up to 1 of your opponent's Characters with a cost of 4 or less.,-ONE PIECE CARD THE BEST vol.2- [PRB-02],3,2026-02-15 14:47:47.796842,2026-02-16 04:38:54.745193
2445,PRB02-018,en,51,Portgas.D.Ace,CHARACTER,R,黄,5.0,,7000.0,,Special,Whitebeard Pirates,"[On Play] If you have a face-up Life card, play up to 1 [Sabo], [Portgas.D.Ace], or [Monkey.D.Luffy] with a cost of 2 from your hand or trash.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],3,2026-02-15 14:47:47.799114,2026-02-16 04:38:54.745194
2446,ST01-011,en,51,Brook,CHARACTER,C,赤,2.0,,3000.0,2000.0,Slash,Straw Hat Crew,[On Play] Give up to 2 rested DON!! cards to your Leader or 1 of your Characters.,,-ONE PIECE CARD THE BEST vol.2- [PRB-02],1,2026-02-15 14:47:47.801526,2026-02-16 04:38:54.745195
2447,ST02-007,en,51,Jewelry Bonney,CHARACTER,C,緑,1.0,,1000.0,1000.0,Special,Supernovas/Bonney Pirates,"[Activate: Main] You may rest 1 of your DON!! cards and this Character: Look at 5 cards from the top of your deck; reveal up to 1 {Supernovas} type card and add it to your hand. Then, place the rest at the bottom of your deck in any order.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],1,2026-02-15 14:47:47.803825,2026-02-16 04:38:54.745196
2448,ST06-008,en,51,Hina,CHARACTER,C,黒,3.0,,5000.0,,Special,Navy,[On Play] Give up to 1 of your opponent's Characters −4 cost during this turn.,,-ONE PIECE CARD THE BEST vol.2- [PRB-02],1,2026-02-15 14:47:47.806103,2026-02-16 04:38:54.745197
2449,ST10-005,en,51,Jinbe,CHARACTER,C,赤,2.0,,2000.0,2000.0,Strike,Fish-Man/Straw Hat Crew,[DON!! x1] [When Attacking] Give up to 1 of your opponent's Characters −2000 power during this turn.,,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.808613,2026-02-16 04:38:54.745197
2450,ST10-008,en,51,Shachi & Penguin,CHARACTER,C,紫,4.0,,5000.0,2000.0,Ranged,Heart Pirates,"[On Play] If you have 3 or less DON!! cards on your field, add up to 2 DON!! cards from your DON!! deck and rest them.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.811067,2026-02-16 04:38:54.745198
2451,ST12-005,en,51,Perona,CHARACTER,C,緑,4.0,,6000.0,1000.0,Special,Muggy Kingdom/Thriller Bark Pirates,,,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.813435,2026-02-16 04:38:54.745199
2452,ST12-017,en,51,Plastic Surgery Shot,EVENT,C,青,1.0,,,,,Straw Hat Crew,"[Counter] Up to 1 of your Leader or Character cards gains +2000 power during this battle. Then, reveal 1 card from the top of your deck, play up to 1 Character card with a cost of 2, and place the rest at the top or bottom of your deck.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.815724,2026-02-16 04:38:54.745200
2453,ST13-004,en,51,Edward.Newgate,CHARACTER,C,黄,6.0,,7000.0,1000.0,Special,The Four Emperors/Whitebeard Pirates,"[On Play] Add 1 card from the top of your deck to the top of your Life cards. Then, look at all your Life cards; place 1 card at the top of your deck and place the rest back in your Life area in any order.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.818011,2026-02-16 04:38:54.745201
2454,ST13-007,en,51,Sabo,CHARACTER,C,黄,2.0,,2000.0,1000.0,Strike,Goa Kingdom,"[Activate: Main] You may trash this Character: Reveal 1 card from the top of your Life cards. If that card is a [Sabo] with a cost of 5, you may play that card. If you do, up to 1 of your Leader gains +2000 power until the end of your opponent's next turn.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.820339,2026-02-16 04:38:54.745202
2455,ST13-010,en,51,Portgas.D.Ace,CHARACTER,C,黄,2.0,,2000.0,1000.0,Strike,Goa Kingdom,"[Activate: Main] You may trash this Character: Reveal 1 card from the top of your Life cards. If that card is a [Portgas.D.Ace] with a cost of 5, you may play that card. If you do, up to 1 of your Leader gains +2000 power until the end of your opponent's next turn.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.822642,2026-02-16 04:38:54.745203
2456,ST13-014,en,51,Monkey.D.Luffy,CHARACTER,C,黄,2.0,,2000.0,1000.0,Strike,Goa Kingdom,"[Activate: Main] You may trash this Character: Reveal 1 card from the top of your Life cards. If that card is a [Monkey.D.Luffy] with a cost of 5, you may play that card. If you do, up to 1 of your Leader gains +2000 power until the end of your opponent's next turn.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.824914,2026-02-16 04:38:54.745203
2457,ST13-019,en,51,The Three Brothers' Bond,EVENT,C,黄,1.0,,,,,Goa Kingdom,"[Main] Look at 5 cards from the top of your deck; reveal up to 1 [Sabo], [Portgas.D.Ace], or [Monkey.D.Luffy] with a cost of 5 or less and add it to your hand. Then, place the rest at the bottom of your deck in any order.",[Trigger] Activate this card's [Main] effect.,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.827225,2026-02-16 04:38:54.745204
2458,ST14-007,en,51,Nico Robin,CHARACTER,C,黒,6.0,,7000.0,1000.0,Strike,Straw Hat Crew,"[On Play]/[When Attacking] If you have a Character with a cost of 8 or more, give up to 1 of your opponent's Characters −5 cost during this turn.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.829573,2026-02-16 04:38:54.745205
2459,ST14-010,en,51,Brook,CHARACTER,C,黒,5.0,,7000.0,1000.0,Slash,Straw Hat Crew,,,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.831903,2026-02-16 04:38:54.745209
2460,ST14-013,en,51,Roronoa Zoro,CHARACTER,C,黒,6.0,,8000.0,1000.0,Slash,Straw Hat Crew,,,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.834174,2026-02-16 04:38:54.745211
2461,ST14-016,en,51,I Have My Crew!!,EVENT,C,黒,1.0,,,,,Straw Hat Crew,"[Main] Draw 1 card. Then, up to 1 of your Characters gains +3 cost until the end of your opponent's next turn.",[Trigger] K.O. up to 1 of your opponent's Characters with a cost of 3 or less.,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.836525,2026-02-16 04:38:54.745212
2462,ST14-017,en,51,Thousand Sunny,STAGE,C,黒,1.0,,,,,Straw Hat Crew,"All of your black {Straw Hat Crew} type Characters gain +1 cost.[On Play] If your Leader has the {Straw Hat Crew} type, draw 1 card.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.838812,2026-02-16 04:38:54.745213
2463,ST15-002,en,51,Edward.Newgate,CHARACTER,SR,赤,7.0,,8000.0,,Special,The Four Emperors/Whitebeard Pirates,[On Play] Give up to 1 rested DON!! card to your Leader or 1 of your Characters.[Activate: Main] You may rest this Character: K.O. up to 1 of your opponent's Characters with 5000 power or less.,,-ONE PIECE CARD THE BEST vol.2- [PRB-02],3,2026-02-15 14:47:47.841115,2026-02-16 04:38:54.745214
2464,ST16-003,en,51,Charlotte Katakuri,CHARACTER,C,緑,3.0,,4000.0,1000.0,Strike,FILM/Big Mom Pirates,"If your Leader has the {FILM} type and you have 6 or more rested cards, this Character gains +2000 power.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],3,2026-02-15 14:47:47.843472,2026-02-16 04:38:54.745215
2465,ST16-004,en,51,Shanks,CHARACTER,SR,緑,9.0,,11000.0,,Slash,FILM/The Four Emperors/Red-Haired Pirates,[On Play] K.O. up to 1 of your opponent's rested Characters.,,-ONE PIECE CARD THE BEST vol.2- [PRB-02],3,2026-02-15 14:47:47.845745,2026-02-16 04:38:54.745215
2466,ST16-005,en,51,Monkey.D.Luffy,CHARACTER,C,緑,2.0,,3000.0,2000.0,Strike,FILM/Supernovas/Straw Hat Crew,"If you have a rested [Uta], this Character gains +1000 power.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],3,2026-02-15 14:47:47.848027,2026-02-16 04:38:54.745216
2467,ST17-002,en,51,Trafalgar Law,CHARACTER,SR,青,4.0,,5000.0,1000.0,Slash,The Seven Warlords of the Sea/Heart Pirates,"[On Play] You may return 1 of your Characters to the owner's hand: If your Leader has the {The Seven Warlords of the Sea} type, return up to 1 Character with a cost of 4 or less to the owner's hand.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],3,2026-02-15 14:47:47.850363,2026-02-16 04:38:54.745217
2468,ST17-003,en,51,Buggy,CHARACTER,C,青,1.0,,2000.0,2000.0,Slash,The Seven Warlords of the Sea/Buggy's Delivery,[On Play] Look at 3 cards from the top of your deck and place them at the top of your deck in any order.,,-ONE PIECE CARD THE BEST vol.2- [PRB-02],3,2026-02-15 14:47:47.852660,2026-02-16 04:38:54.745218
2469,ST17-005,en,51,Marshall.D.Teach,CHARACTER,C,青,2.0,,3000.0,1000.0,Special,The Seven Warlords of the Sea/Blackbeard Pirates,[Activate: Main] [Once Per Turn] You may place 1 card from your hand at the top of your deck: Give up to 2 rested DON!! cards to your Leader or 1 of your Characters.,,-ONE PIECE CARD THE BEST vol.2- [PRB-02],3,2026-02-15 14:47:47.854972,2026-02-16 04:38:54.745219
2470,ST18-001,en,51,Uso-Hachi,CHARACTER,C,紫,3.0,,3000.0,2000.0,Ranged,Straw Hat Crew,"[On Play] If you have 8 or more DON!! cards on your field, rest up to 1 of your opponent's Characters with a cost of 5 or less.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],3,2026-02-15 14:47:47.857277,2026-02-16 04:38:54.745220
2471,ST18-002,en,51,O-Nami,CHARACTER,C,紫,4.0,,2000.0,1000.0,Special,Straw Hat Crew,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On Play] If you have 8 or more DON!! cards on your field, trash 1 card from your hand and draw 2 cards.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],3,2026-02-15 14:47:47.860347,2026-02-16 04:38:54.745220
2472,ST18-003,en,51,San-Gorou,CHARACTER,C,紫,5.0,,6000.0,1000.0,Strike,Straw Hat Crew,"[When Attacking] [Once Per Turn] If you have 8 or more DON!! cards on your field, draw 1 card.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],3,2026-02-15 14:47:47.862660,2026-02-16 04:38:54.745221
2473,ST19-002,en,51,Sengoku,CHARACTER,C,黒,1.0,,1000.0,1000.0,Wisdom,Navy,"[On Play] You may trash 2 black {Navy} type cards from your hand: If your Leader has the {Navy} type, draw 3 cards.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],3,2026-02-15 14:47:47.864940,2026-02-16 04:38:54.745222
2474,ST20-003,en,51,Charlotte Brulee,CHARACTER,C,黄,3.0,,3000.0,2000.0,Special,Big Mom Pirates,,"[Trigger] Look at up to 1 card from the top of your or your opponent's Life cards, and place it at the top or bottom of the Life cards. Then, add this card to your hand.",-ONE PIECE CARD THE BEST vol.2- [PRB-02],3,2026-02-15 14:47:47.867287,2026-02-16 04:38:54.745223
2475,ST21-003,en,51,Sanji,CHARACTER,C,赤,2.0,,3000.0,2000.0,Strike,Straw Hat Crew,"[On Play] Select up to 1 of your {Straw Hat Crew} type Characters with 6000 power or more. If the selected Character attacks during this turn, your opponent cannot activate [Blocker].",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],3,2026-02-15 14:47:47.869592,2026-02-16 04:38:54.745224
2476,EB01-006,en,52,Tony Tony.Chopper,CHARACTER,SR,赤,3.0,,4000.0,1000.0,Strike,Animal/Straw Hat Crew,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[DON!! x2] [When Attacking] Give up to 1 of your opponent's Characters −3000 power during this turn.",,-ONE PIECE CARD THE BEST- [PRB-01],2,2026-02-15 14:47:55.535442,2026-02-16 04:38:54.751128
2477,OP01-006,en,52,Otama,CHARACTER,UC,赤,1.0,,,2000.0,Special,Land of Wano,[On Play] Give up to 1 of your opponent's Characters −2000 power during this turn.,,-ONE PIECE CARD THE BEST- [PRB-01],1,2026-02-15 14:47:55.537391,2026-02-16 04:38:54.751130
2478,OP01-016,en,52,Nami,CHARACTER,R,赤,1.0,,2000.0,1000.0,Special,Straw Hat Crew,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 {Straw Hat Crew} type card other than [Nami] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",,-ONE PIECE CARD THE BEST- [PRB-01],1,2026-02-15 14:47:55.541206,2026-02-16 04:38:54.751131
2479,OP01-024,en,52,Monkey.D.Luffy,CHARACTER,SR,赤,2.0,,3000.0,1000.0,Strike,Supernovas/Straw Hat Crew,[DON!! x2] This Character cannot be K.O.'d in battle by <Strike> attribute Characters.[Activate: Main] [Once Per Turn] Give this Character up to 2 rested DON!! cards.,,-ONE PIECE CARD THE BEST- [PRB-01],1,2026-02-15 14:47:55.542835,2026-02-16 04:38:54.751132
2480,OP01-029,en,52,Radical Beam!!,EVENT,UC,赤,1.0,,,,,Straw Hat Crew,"[Counter] Up to 1 of your Leader or Character cards gains +2000 power during this battle. Then, if you have 2 or less Life cards, that card gains an additional +2000 power.",[Trigger] Up to 1 of your Leader or Character cards gains +1000 power during this turn.,-ONE PIECE CARD THE BEST- [PRB-01],1,2026-02-15 14:47:55.545094,2026-02-16 04:38:54.751133
2481,OP01-033,en,52,Izo,CHARACTER,UC,緑,3.0,,3000.0,2000.0,Ranged,Land of Wano/Former Whitebeard Pirates,[On Play] Rest up to 1 of your opponent's Characters with a cost of 4 or less.,,-ONE PIECE CARD THE BEST- [PRB-01],1,2026-02-15 14:47:55.548071,2026-02-16 04:38:54.751134
2482,OP01-041,en,52,Kouzuki Momonosuke,CHARACTER,R,緑,1.0,,,1000.0,Slash,Land of Wano/Kouzuki Clan,"[Activate: Main] ➀ (You may rest the specified number of DON!! cards in your cost area.) You may rest this Character: Look at 5 cards from the top of your deck; reveal up to 1 {Land of Wano} type card and add it to your hand. Then, place the rest at the bottom of your deck in any order.",,-ONE PIECE CARD THE BEST- [PRB-01],1,2026-02-15 14:47:55.551832,2026-02-16 04:38:54.751135
2483,OP01-047,en,52,Trafalgar Law,CHARACTER,SR,緑,5.0,,6000.0,,Slash,Supernovas/Heart Pirates,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On Play] You may return 1 of your Characters to the owner's hand: Play up to 1 Character card with a cost of 3 or less from your hand.",,-ONE PIECE CARD THE BEST- [PRB-01],1,2026-02-15 14:47:55.555522,2026-02-16 04:38:54.751136
2484,OP01-051,en,52,"Eustass""Captain""Kid",CHARACTER,SR,緑,8.0,,8000.0,,Special,Supernovas/Kid Pirates,"[DON!! x1] [Opponent's Turn] If this Character is rested, your opponent cannot attack any card other than the Character [Eustass""Captain""Kid].[Activate: Main] [Once Per Turn] You may rest this Character: Play up to 1 Character card with a cost of 3 or less from your hand.",,-ONE PIECE CARD THE BEST- [PRB-01],1,2026-02-15 14:47:55.557743,2026-02-16 04:38:54.751137
2485,OP01-052,en,52,Raizo,CHARACTER,UC,緑,3.0,,4000.0,1000.0,Slash,Land of Wano/The Akazaya Nine,"[When Attacking] [Once Per Turn] If you have 2 or more rested Characters, draw 1 card.",,-ONE PIECE CARD THE BEST- [PRB-01],1,2026-02-15 14:47:55.560020,2026-02-16 04:38:54.751137
2486,OP01-070,en,52,Dracule Mihawk,CHARACTER,SR,青,9.0,,9000.0,,Slash,The Seven Warlords of the Sea,[On Play] Place up to 1 Character with a cost of 7 or less at the bottom of the owner's deck.,,-ONE PIECE CARD THE BEST- [PRB-01],1,2026-02-15 14:47:55.562991,2026-02-16 04:38:54.751138
2487,OP01-078,en,52,Boa Hancock,CHARACTER,SR,青,4.0,,5000.0,1000.0,Special,The Seven Warlords of the Sea/Kuja Pirates,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[DON!! x1] [When Attacking]/[On Block] Draw 1 card if you have 5 or less cards in your hand.",,-ONE PIECE CARD THE BEST- [PRB-01],1,2026-02-15 14:47:55.565195,2026-02-16 04:38:54.751139
2488,OP01-120,en,52,Shanks,CHARACTER,SEC,赤,9.0,,10000.0,,Slash,The Four Emperors/Red-Haired Pirates,[Rush] (This card can attack on the turn in which it is played.)[When Attacking] Your opponent cannot activate a [Blocker] Character that has 2000 or less power during this battle.,,-ONE PIECE CARD THE BEST- [PRB-01],1,2026-02-15 14:47:55.567463,2026-02-16 04:38:54.751140
2489,OP01-121,en,52,Yamato,CHARACTER,SEC,緑,5.0,,5000.0,1000.0,Strike,Land of Wano,"Also treat this card's name as [Kouzuki Oden] according to the rules.[Double Attack] (This card deals 2 damage.)[Banish] (When this card deals damage, the target card is trashed without activating its Trigger.)",,-ONE PIECE CARD THE BEST- [PRB-01],1,2026-02-15 14:47:55.570460,2026-02-16 04:38:54.751141
2490,OP02-004,en,52,Edward.Newgate,CHARACTER,SR,赤,9.0,,10000.0,,Special,The Four Emperors/Whitebeard Pirates,"[On Play] Up to 1 of your Leader gains +2000 power until the start of your next turn. Then, you cannot add Life cards to your hand using your own effects during this turn.[DON!! x2] [When Attacking] K.O. up to 1 of your opponent's Characters with 3000 power or less.",,-ONE PIECE CARD THE BEST- [PRB-01],1,2026-02-15 14:47:55.572659,2026-02-16 04:38:54.751142
2491,OP02-013,en,52,Portgas.D.Ace,CHARACTER,SR,赤,7.0,,7000.0,,Special,Whitebeard Pirates,"[On Play] Give up to 2 of your opponent's Characters −3000 power during this turn. Then, if your Leader's type includes ""Whitebeard Pirates"", this Character gains [Rush] during this turn.(This card can attack on the turn in which it is played.)",,-ONE PIECE CARD THE BEST- [PRB-01],1,2026-02-15 14:47:55.574901,2026-02-16 04:38:54.751143
2492,OP02-015,en,52,Makino,CHARACTER,UC,赤,1.0,,,2000.0,Wisdom,Windmill Village,[Activate: Main] You may rest this Character: Up to 1 of your red Characters with a cost of 1 gains +3000 power during this turn.,,-ONE PIECE CARD THE BEST- [PRB-01],1,2026-02-15 14:47:55.576453,2026-02-16 04:38:54.751144
2493,OP02-018,en,52,Marco,CHARACTER,R,赤,4.0,,5000.0,1000.0,Special,Whitebeard Pirates,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On K.O.] You may trash 1 card with a type including ""Whitebeard Pirates"" from your hand: If you have 2 or less Life cards, play this Character card from your trash rested.",,-ONE PIECE CARD THE BEST- [PRB-01],1,2026-02-15 14:47:55.579435,2026-02-16 04:38:54.751144
2494,OP02-089,en,52,Judgment of Hell,EVENT,R,紫,2.0,,,,,Impel Down,[Counter] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): Give up to a total of 2 of your opponent's Leader or Character cards −3000 power during this turn.,"[Trigger] If your opponent has 6 or more DON!! cards on their field, your opponent returns 1 DON!! card from their field to their DON!! deck.",-ONE PIECE CARD THE BEST- [PRB-01],1,2026-02-15 14:47:55.583052,2026-02-16 04:38:54.751145
2495,OP02-096,en,52,Kuzan,CHARACTER,SR,黒,4.0,,5000.0,,Special,Navy,[On Play] Draw 1 card.[When Attacking] Give up to 1 of your opponent's Characters −4 cost during this turn.,,-ONE PIECE CARD THE BEST- [PRB-01],1,2026-02-15 14:47:55.586721,2026-02-16 04:38:54.751146
2496,OP02-099,en,52,Sakazuki,CHARACTER,SR,黒,6.0,,7000.0,,Special,Navy,[On Play] You may trash 1 card from your hand: K.O. up to 1 of your opponent's Characters with a cost of 5 or less.,,-ONE PIECE CARD THE BEST- [PRB-01],1,2026-02-15 14:47:55.588963,2026-02-16 04:38:54.751147
2497,OP02-106,en,52,Tsuru,CHARACTER,UC,黒,1.0,,,2000.0,Wisdom,Navy,[On Play] Give up to 1 of your opponent's Characters −2 cost during this turn.,,-ONE PIECE CARD THE BEST- [PRB-01],1,2026-02-15 14:47:55.591249,2026-02-16 04:38:54.751148
2498,OP02-114,en,52,Borsalino,CHARACTER,SR,黒,4.0,,5000.0,1000.0,Special,Navy,"[Opponent's Turn] This Character gains +1000 power and cannot be K.O.'d by effects.[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",,-ONE PIECE CARD THE BEST- [PRB-01],1,2026-02-15 14:47:55.594211,2026-02-16 04:38:54.751149
2499,OP02-117,en,52,Ice Age,EVENT,UC,黒,1.0,,,,,Navy,[Main] Give up to 1 of your opponent's Characters −5 cost during this turn.,[Trigger] K.O. up to 1 of your opponent's Characters with a cost of 3 or less.,-ONE PIECE CARD THE BEST- [PRB-01],1,2026-02-15 14:47:55.596461,2026-02-16 04:38:54.751150
2500,OP02-121,en,52,Kuzan,CHARACTER,SEC,黒,10.0,,10000.0,,Special,Former Navy,[Your Turn] Give all of your opponent's Characters −5 cost.[On Play] K.O. up to 1 of your opponent's Characters with a cost of 0.,,-ONE PIECE CARD THE BEST- [PRB-01],1,2026-02-15 14:47:55.599485,2026-02-16 04:38:54.751150
2501,OP03-003,en,52,Izo,CHARACTER,R,赤,1.0,,2000.0,1000.0,Ranged,Land of Wano/Whitebeard Pirates,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 card with a type including ""Whitebeard Pirates"" other than [Izo] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",,-ONE PIECE CARD THE BEST- [PRB-01],1,2026-02-15 14:47:55.601752,2026-02-16 04:38:54.751151
2502,OP03-055,en,52,Gum-Gum Giant Gavel,EVENT,C,青,1.0,,,,,East Blue/Straw Hat Crew,"[Counter] You may trash 1 card from your hand: Up to 1 of your Leader gains +4000 power during this battle. Then, you may trash 2 cards from the top of your deck.",[Trigger] Return up to 1 Character with a cost of 4 or less to the owner's hand.,-ONE PIECE CARD THE BEST- [PRB-01],1,2026-02-15 14:47:55.605436,2026-02-16 04:38:54.751152
2503,OP03-056,en,52,Sanji's Pilaf,EVENT,UC,青,3.0,,,,,East Blue,[Main] Draw 2 cards.,[Trigger] Activate this card's [Main] effect.,-ONE PIECE CARD THE BEST- [PRB-01],1,2026-02-15 14:47:55.608406,2026-02-16 04:38:54.751153
2504,OP03-057,en,52,Three Thousand Worlds,EVENT,R,青,4.0,,,,,East Blue/Straw Hat Crew,[Main] Place up to 1 Character with a cost of 5 or less at the bottom of the owner's deck.,[Trigger] Place up to 1 Character with a cost of 3 or less at the bottom of the owner's deck.,-ONE PIECE CARD THE BEST- [PRB-01],1,2026-02-15 14:47:55.612148,2026-02-16 04:38:54.751154
2505,OP03-060,en,52,Kalifa,CHARACTER,UC,紫,4.0,,4000.0,2000.0,Wisdom,Water Seven/Galley-La Company,[When Attacking] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): Draw 2 cards and trash 1 card from your hand.,,-ONE PIECE CARD THE BEST- [PRB-01],1,2026-02-15 14:47:55.615809,2026-02-16 04:38:54.751155
2506,OP03-079,en,52,Vergo,CHARACTER,UC,黒,5.0,,5000.0,2000.0,Strike,Navy/Donquixote Pirates,[DON!! x1] This Character cannot be K.O.'d in battle.,,-ONE PIECE CARD THE BEST- [PRB-01],1,2026-02-15 14:47:55.618819,2026-02-16 04:38:54.751156
2507,OP03-089,en,52,Brannew,CHARACTER,R,黒,2.0,,3000.0,1000.0,Wisdom,Navy,"[On Play] Look at 3 cards from the top of your deck; reveal up to 1 {Navy} type card other than [Brannew] and add it to your hand. Then, trash the rest.",,-ONE PIECE CARD THE BEST- [PRB-01],1,2026-02-15 14:47:55.621762,2026-02-16 04:38:54.751156
